"","Code","country","century","decade","year","height.cm","year_decade","height.in"
"95",854,"Burkina Faso","18","3","0",166.72,"1830",65.6377952755905
"96",40,"Austria","18","4","0",164.8,"1840",64.8818897637795
"97",56,"Belgium","18","4","0",165.1,"1840",65
"98",280,"Federal Republic of Germany (until 1990)","18","4","0",166.6,"1840",65.5905511811024
"99",250,"France","18","4","0",164.3,"1840",64.6850393700787
"100",276,"Germany","18","4","0",166.6,"1840",65.5905511811024
"101",528,"Netherlands","18","4","0",164.5,"1840",64.7637795275591
"102",233,"Estonia","18","4","0",166.7,"1840",65.6299212598425
"103",372,"Ireland","18","4","0",160.9,"1840",63.3464566929134
"104",428,"Latvia","18","4","0",166.5,"1840",65.5511811023622
"105",440,"Lithuania","18","4","0",165.3,"1840",65.0787401574803
"106",578,"Norway","18","4","0",168,"1840",66.1417322834646
"107",752,"Sweden","18","4","0",167.9,"1840",66.1023622047244
"108",826,"United Kingdom of Great Britain and Northern Ireland","18","4","0",166.5,"1840",65.5511811023622
"109",191,"Croatia","18","4","0",161.2,"1840",63.4645669291339
"110",380,"Italy","18","4","0",162,"1840",63.7795275590551
"111",620,"Portugal","18","4","0",163.539,"1840",64.3854330708661
"112",724,"Spain","18","4","0",163.7,"1840",64.4488188976378
"113",112,"Belarus","18","4","0",163.9,"1840",64.5275590551181
"114",203,"Czech Republic","18","4","0",164.8,"1840",64.8818897637795
"115",348,"Hungary","18","4","0",164,"1840",64.5669291338583
"116",616,"Poland","18","4","0",163.1,"1840",64.2125984251968
"117",498,"Republic of Moldova","18","4","0",165.1,"1840",65
"118",642,"Romania","18","4","0",164,"1840",64.5669291338583
"119",643,"Russian Federation","18","4","0",164.2,"1840",64.6456692913386
"120",804,"Ukraine","18","4","0",164.1,"1840",64.6062992125984
"121",124,"Canada","18","4","0",170.4,"1840",67.0866141732283
"122",840,"United States of America","18","4","0",172.2,"1840",67.7952755905512
"123",484,"Mexico","18","4","0",162.5,"1840",63.9763779527559
"124",32,"Argentina","18","4","0",169.6,"1840",66.7716535433071
"125",76,"Brazil","18","4","0",164.6,"1840",64.8031496062992
"126",604,"Peru","18","4","0",161.3,"1840",63.503937007874
"127",356,"India","18","4","0",160.304,"1840",63.111811023622
"128",586,"Pakistan","18","4","0",165.1,"1840",65
"129",156,"China","18","4","0",166.2,"1840",65.4330708661417
"130",116,"Cambodia","18","4","0",161.6,"1840",63.6220472440945
"131",360,"Indonesia","18","4","0",160.352,"1840",63.1307086614173
"132",418,"Lao People's Democratic Republic","18","4","0",159.6,"1840",62.8346456692913
