City,Abbr.,County,Alias_Abbr
Larsen Bay,AK,KODIAK ISLAND,"Larsen Bay, AK"
Levelock,AK,LAKE AND PENINSULA,"Levelock, AK"
Lower Kalskag,AK,BETHEL,"Lower Kalskag, AK"
Mc Grath,AK,YUKON KOYUKUK,"Mcgrath, AK"
Mc Grath,AK,YUKON KOYUKUK,"Mc Grath, AK"
Manokotak,AK,DILLINGHAM,"Manokotak, AK"
Mekoryuk,AK,BETHEL,"Mekoryuk, AK"
Moose Pass,AK,KENAI PENINSULA,"Moose Pass, AK"
Mountain Village,AK,WADE HAMPTON,"Mountain Vlg, AK"
Mountain Village,AK,WADE HAMPTON,"Mountain Village, AK"
Naknek,AK,BRISTOL BAY,"Naknek, AK"
Napakiak,AK,BETHEL,"Napakiak, AK"
Nikiski,AK,KENAI PENINSULA,"Nikishka, AK"
New Stuyahok,AK,DILLINGHAM,"New Stuyahok, AK"
Toksook Bay,AK,BETHEL,"Toksook Bay, AK"
Nikolski,AK,ALEUTIANS WEST,"Nikolski, AK"
Ninilchik,AK,KENAI PENINSULA,"Ninilchik, AK"
Nondalton,AK,LAKE AND PENINSULA,"Nondalton, AK"
Nunapitchuk,AK,BETHEL,"Nunapitchuk, AK"
Old Harbor,AK,KODIAK ISLAND,"Old Harbor, AK"
Ouzinkie,AK,KODIAK ISLAND,"Ouzinkie, AK"
Palmer,AK,MATANUSKA SUSITNA,"Palmer, AK"
Pedro Bay,AK,LAKE AND PENINSULA,"Pedro Bay, AK"
Perryville,AK,LAKE AND PENINSULA,"Perryville, AK"
Pilot Point,AK,LAKE AND PENINSULA,"Pilot Point, AK"
Pilot Station,AK,WADE HAMPTON,"Pilot Station, AK"
Platinum,AK,BETHEL,"Platinum, AK"
Port Alsworth,AK,LAKE AND PENINSULA,"Port Alsworth, AK"
Quinhagak,AK,BETHEL,"Quinhagak, AK"
Red Devil,AK,BETHEL,"Red Devil, AK"
Russian Mission,AK,WADE HAMPTON,"Russian Mission, AK"
Russian Mission,AK,WADE HAMPTON,"Russian Msn, AK"
Saint Marys,AK,WADE HAMPTON,"St Marys, AK"
Saint Marys,AK,WADE HAMPTON,"Saint Marys, AK"
Saint Michael,AK,NOME,"St Michael, AK"
Saint Michael,AK,NOME,"Saint Michael, AK"
Saint Paul Island,AK,ALEUTIANS WEST,"Saint Paul, AK"
Saint Paul Island,AK,ALEUTIANS WEST,"St Paul, AK"
Saint Paul Island,AK,ALEUTIANS WEST,"St Paul Island, AK"
Sand Point,AK,ALEUTIANS EAST,"Sand Point, AK"
Scammon Bay,AK,WADE HAMPTON,"Scammon Bay, AK"
Seldovia,AK,KENAI PENINSULA,"Seldovia, AK"
Seward,AK,KENAI PENINSULA,"Seward, AK"
Shageluk,AK,YUKON KOYUKUK,"Shageluk, AK"
Nunam Iqua,AK,WADE HAMPTON,"Nunam Iqua, AK"
Skwentna,AK,MATANUSKA SUSITNA,"Skwentna, AK"
Sleetmute,AK,BETHEL,"Sleetmute, AK"
Soldotna,AK,KENAI PENINSULA,"Soldotna, AK"
South Naknek,AK,BRISTOL BAY,"S Naknek, AK"
South Naknek,AK,BRISTOL BAY,"South Naknek, AK"
