unitid,year,fips,race,sex,completers
108852,2014,6,4,1,1
108852,2014,6,4,2,2
108852,2014,6,2,99,13
108852,2014,6,3,1,3
108852,2014,6,3,2,5
108852,2014,6,6,99,0
108852,2014,6,8,1,10
108852,2014,6,8,2,21
108852,2014,6,99,99,135
108852,2014,6,9,1,3
108852,2014,6,9,2,1
108852,2014,6,1,99,68
108852,2015,6,7,99,4
108852,2015,6,5,1,1
108852,2015,6,5,2,0
108852,2015,6,4,99,0
108852,2015,6,2,1,10
108852,2015,6,2,2,4
108852,2015,6,3,99,1
108852,2015,6,6,1,0
108852,2015,6,6,2,0
108852,2015,6,8,99,45
108852,2015,6,99,1,56
108852,2015,6,99,2,70
108852,2015,6,9,99,16
108852,2015,6,1,1,20
108852,2015,6,1,2,25
108861,2014,6,7,1,0
108861,2014,6,7,2,0
108861,2014,6,5,99,0
108861,2014,6,4,1,2
108861,2014,6,4,2,1
108861,2014,6,2,99,5
108861,2014,6,3,1,0
108861,2014,6,3,2,0
108861,2014,6,6,99,0
108861,2014,6,8,1,1
108861,2014,6,8,2,0
108861,2014,6,99,99,10
108861,2014,6,9,1,0
108861,2014,6,9,2,0
108861,2014,6,1,99,1
108861,2015,6,7,99,0
108861,2015,6,5,1,0
108861,2015,6,5,2,0
108861,2015,6,4,99,3
108861,2015,6,2,1,4
108861,2015,6,2,2,1
108861,2015,6,3,99,0
108861,2015,6,6,1,0
108861,2015,6,6,2,0
108861,2015,6,8,99,3
108861,2015,6,99,1,9
108861,2015,6,99,2,2
108861,2015,6,9,99,0
108861,2015,6,1,1,0
108861,2015,6,1,2,0
108870,2014,6,7,1,3
108870,2014,6,7,2,1
108870,2014,6,5,99,1
108870,2014,6,4,1,4
108870,2014,6,4,2,8
108870,2014,6,2,99,3
108870,2014,6,3,1,5
108870,2014,6,3,2,3
108870,2014,6,6,99,0
108870,2014,6,8,1,18
108870,2014,6,8,2,16
108870,2014,6,99,99,129
108870,2014,6,9,1,2
108870,2014,6,9,2,2
108870,2014,6,1,99,63
108870,2015,6,7,99,4
108870,2015,6,5,1,2
108870,2015,6,5,2,1
108870,2015,6,4,99,2
108870,2015,6,2,1,1
108870,2015,6,2,2,2
108870,2015,6,3,99,15
108870,2015,6,6,1,0
108870,2015,6,6,2,0
108870,2015,6,8,99,37
108870,2015,6,99,1,65
108870,2015,6,99,2,52
108870,2015,6,9,99,5
108870,2015,6,1,1,28
108870,2015,6,1,2,20
108977,2014,6,7,1,1
108977,2014,6,7,2,0
108977,2014,6,5,99,0
108977,2014,6,4,1,0
108977,2014,6,4,2,0
108977,2014,6,2,99,2
108977,2014,6,3,1,22
108977,2014,6,3,2,22
108977,2014,6,6,99,0
108977,2014,6,8,1,0
108977,2014,6,8,2,0
108977,2014,6,99,99,54
108977,2014,6,9,1,1
108977,2014,6,9,2,0
108977,2014,6,1,99,6
108977,2015,6,7,99,0
108977,2015,6,5,1,0
108977,2015,6,5,2,0
108977,2015,6,4,99,5
108977,2015,6,2,1,1
108977,2015,6,2,2,1
108977,2015,6,3,99,46
108977,2015,6,6,1,0
108977,2015,6,6,2,0
108977,2015,6,8,99,0
108977,2015,6,99,1,29
108977,2015,6,99,2,30
108977,2015,6,9,99,0
108977,2015,6,1,1,3
108977,2015,6,1,2,3
109040,2014,6,7,1,9
109040,2014,6,7,2,45
109040,2014,6,5,99,4
109040,2014,6,4,1,32
109040,2014,6,4,2,41
109040,2014,6,2,99,130
109040,2014,6,3,1,156
109040,2014,6,3,2,569
109040,2014,6,6,99,10
109040,2014,6,8,1,0
109040,2014,6,8,2,0
109040,2014,6,99,99,1046
